baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_1024900	95.1326539863435	-1.07443298024928	0.341621311956082	-3.14509939118614	0.0016603041279948	0.00906382373720238
PF3D7_0322900	1918.0037358759	-1.06635474400285	0.190037647168983	-5.6112815533579	2.00833694527238e-08	3.9833477752957e-07
PF3D7_0209300	212.523483276145	-1.06567982834733	0.275274350647001	-3.87133717995363	0.000108239946113113	0.000893865154992291
PF3D7_1331800	1310.33848675066	-1.06433804203543	0.200135928884789	-5.31807580960705	1.0487037653204e-07	1.81110741524155e-06
PF3D7_1357000	2284.63193807352	-1.06280073358363	0.208960051271647	-5.08614315088389	3.65418283980866e-07	5.6453396117044e-06
PF3D7_0520400	149.443296452546	-1.05891792395898	0.295015646622659	-3.58936190700894	0.000331488374024057	0.00237479525996414
PF3D7_1026200	98.166645482405	-1.05647522475034	0.338071412856167	-3.12500609212947	0.00177801377459291	0.00960254288252198
PF3D7_0715000	194.913984035324	-1.05497749133922	0.275793048666656	-3.82525047835541	0.000130639193401376	0.00105419111063534
PF3D7_1033300	224.577520020968	-1.05410295603321	0.266728626091539	-3.95196785391701	7.75111548216036e-05	0.000673146587379969
PF3D7_0205800	166.537969807955	-1.05347706439389	0.290895874755592	-3.6214919351435	0.000292908938221673	0.00213889452958656
PF3D7_0501500	215.101860117806	-1.05115584184436	0.277014566617977	-3.79458688645054	0.000147889487301065	0.00117023353888752
PF3D7_1366500	523.366322299669	-1.05068324276113	0.22240852731214	-4.72411402322963	2.31120721434153e-06	2.96539637501108e-05
PF3D7_1445600	355.740016305679	-1.0455828668006	0.254521395440522	-4.10803525963278	3.99039195211956e-05	0.000377590838469313
PF3D7_1338300	2432.34231615899	-1.04545097282709	0.187927924525824	-5.56304219005747	2.65111761998121e-08	5.05940177729187e-07
PF3D7_1142600	1658.99744303538	-1.04471029971531	0.188954227606312	-5.52890672492373	3.22232606979165e-08	6.0729481365119e-07
PF3D7_1229400	1936.43280552742	-1.04276107820415	0.188658250540013	-5.52724874326655	3.25291603599477e-08	6.10526637830093e-07
PF3D7_0307100	1571.06303173934	-1.03843772299212	0.189902724370713	-5.46826132396589	4.54471506637806e-08	8.28999832589926e-07
PF3D7_1427500	192.488510747132	-1.0315249620938	0.311204033221361	-3.31462594303871	0.000917658310233035	0.00561725612544265
PF3D7_1460300	629.96022331047	-1.02777480421612	0.219397485227467	-4.68453320306085	2.80598680297331e-06	3.55999778187284e-05
PF3D7_1308300	873.25455689067	-1.0253144013361	0.213559060830812	-4.8010812435085	1.5781122386581e-06	2.083658659298e-05
PF3D7_0618300	1590.56646352775	-1.02407508960157	0.20204028420757	-5.06866783333895	4.00609647100869e-07	6.12649500717895e-06
